alert_id,city_id,alert_type,severity_level,alert_message,alert_date,status
1,3,Environmental Hazard,High,Environmental pollution levels exceed safe limits. Avoid outdoor activities.,2024-08-21,Active
2,16,Water Contamination,High,Water contamination detected. Boil water before consumption.,2024-11-12,Under Investigation
3,11,Environmental Hazard,Critical,Environmental pollution levels exceed safe limits. Avoid outdoor activities.,2025-02-12,Resolved
4,14,Air Pollution Alert,Medium,Air quality deteriorated. Use masks and avoid outdoor exercise.,2023-05-19,Resolved
5,4,Air Pollution Alert,Medium,Air quality deteriorated. Use masks and avoid outdoor exercise.,2024-03-01,Resolved
6,9,Disease Outbreak,Medium,Increase in Zika Virus cases reported. Take preventive measures.,2024-01-30,Active
7,11,Air Pollution Alert,High,Air quality deteriorated. Use masks and avoid outdoor exercise.,2025-04-30,Under Investigation
8,6,Air Pollution Alert,High,Air quality deteriorated. Use masks and avoid outdoor exercise.,2025-02-18,Under Investigation
9,6,Air Pollution Alert,Low,Air quality deteriorated. Use masks and avoid outdoor exercise.,2025-02-10,Resolved
10,17,Air Pollution Alert,Critical,Air quality deteriorated. Use masks and avoid outdoor exercise.,2023-05-02,Active
11,19,Disease Outbreak,Critical,Increase in Pneumonia cases reported. Take preventive measures.,2024-09-28,Resolved
12,20,Air Pollution Alert,Medium,Air quality deteriorated. Use masks and avoid outdoor exercise.,2025-05-02,Active
13,8,Water Contamination,Low,Water contamination detected. Boil water before consumption.,2025-08-03,Resolved
14,16,Disease Outbreak,High,Increase in Japanese Encephalitis cases reported. Take preventive measures.,2025-08-21,Active
15,11,Environmental Hazard,Medium,Environmental pollution levels exceed safe limits. Avoid outdoor activities.,2025-01-08,Under Investigation
16,14,Environmental Hazard,Low,Environmental pollution levels exceed safe limits. Avoid outdoor activities.,2024-03-27,Under Investigation
17,7,Environmental Hazard,Low,Environmental pollution levels exceed safe limits. Avoid outdoor activities.,2023-10-15,Resolved
18,12,Disease Outbreak,High,Increase in Measles cases reported. Take preventive measures.,2025-05-20,Active
19,5,Environmental Hazard,Critical,Environmental pollution levels exceed safe limits. Avoid outdoor activities.,2024-01-14,Resolved
20,2,Environmental Hazard,Medium,Environmental pollution levels exceed safe limits. Avoid outdoor activities.,2025-05-29,Resolved
21,8,Environmental Hazard,High,Environmental pollution levels exceed safe limits. Avoid outdoor activities.,2023-04-20,Active
22,12,Water Contamination,Critical,Water contamination detected. Boil water before consumption.,2025-02-24,Resolved
23,6,Disease Outbreak,Low,Increase in Chickenpox cases reported. Take preventive measures.,2024-09-12,Resolved
