hospital_id,hospital_name,city_id,hospital_type,bed_capacity,contact_number
1,Apollo Hospital,4,Medical College,175,+91-7958682846
2,Max Hospital,5,Community Health Center,94,+91-9536146025
3,Apollo Hospital,14,Government Hospital,97,+91-7939042955
4,Civil Hospital,8,Government Hospital,358,+91-7113971123
5,AIIMS Hospital,18,Government Hospital,416,+91-9791232393
6,Grant Medical Hospital,18,Private Hospital,279,+91-9530876844
7,Apollo Hospital,9,Private Hospital,407,+91-8815115025
8,Safdarjung Hospital,11,Private Hospital,160,+91-8445662585
9,Max Hospital,4,Primary Health Center,99,+91-8541804686
10,District Hospital,12,Government Hospital,185,+91-7186618211
11,Civil Hospital,15,Government Hospital,113,+91-8625792787
12,Civil Hospital,3,Government Hospital,200,+91-9699987374
13,KEM Hospital,20,Community Health Center,148,+91-7298737106
14,AIIMS Hospital,2,Government Hospital,445,+91-8242911821
15,AIIMS Hospital,3,Government Hospital,493,+91-7433797840
16,Safdarjung Hospital,13,Primary Health Center,375,+91-8566942273
17,KEM Hospital,6,Medical College,157,+91-9878380452
18,Max Hospital,9,Community Health Center,375,+91-7735034881
19,AIIMS Hospital,18,Government Hospital,133,+91-8985392498
20,Safdarjung Hospital,13,Community Health Center,162,+91-9940395823
21,Apollo Hospital,11,Private Hospital,470,+91-7137869475
22,Grant Medical Hospital,11,Medical College,83,+91-7906164396
23,KEM Hospital,19,Private Hospital,385,+91-9144181937
24,Victoria Hospital,13,Private Hospital,185,+91-7599707677
25,Civil Hospital,8,Government Hospital,325,+91-8128466620
26,Grant Medical Hospital,19,Community Health Center,254,+91-8554762903
27,Fortis Hospital,8,Community Health Center,302,+91-7390452952
28,Max Hospital,2,Private Hospital,371,+91-7687117441
29,District Hospital,14,Government Hospital,82,+91-8652563013
30,District Hospital,13,Government Hospital,289,+91-9272528809
31,Civil Hospital,9,Government Hospital,490,+91-7049310608
32,Civil Hospital,4,Government Hospital,434,+91-8146005448
33,Max Hospital,11,Medical College,272,+91-7679282378
34,Apollo Hospital,15,Medical College,306,+91-7767303988
35,Max Hospital,17,Medical College,480,+91-9744267175
36,District Hospital,17,Government Hospital,151,+91-7656439677
37,Fortis Hospital,12,Community Health Center,448,+91-9277851678
38,District Hospital,1,Government Hospital,215,+91-9098545541
39,Max Hospital,1,Medical College,499,+91-8320763135
40,Apollo Hospital,8,Private Hospital,499,+91-9436779490
41,Max Hospital,3,Primary Health Center,467,+91-7297265480
42,Fortis Hospital,18,Private Hospital,387,+91-9041322270
43,Fortis Hospital,18,Medical College,320,+91-9605301030
44,AIIMS Hospital,14,Government Hospital,326,+91-9962958940
45,Safdarjung Hospital,7,Primary Health Center,393,+91-9791205006
46,Victoria Hospital,12,Community Health Center,281,+91-7519709079
47,AIIMS Hospital,8,Government Hospital,82,+91-8452066459
48,District Hospital,1,Government Hospital,333,+91-7988335251
49,AIIMS Hospital,19,Government Hospital,53,+91-7304912982
50,AIIMS Hospital,2,Government Hospital,84,+91-7134917627
51,Max Hospital,11,Community Health Center,171,+91-8196050747
52,AIIMS Hospital,16,Government Hospital,326,+91-7568275055
53,District Hospital,19,Government Hospital,292,+91-8043665192
54,Grant Medical Hospital,16,Private Hospital,98,+91-7416314667
55,KEM Hospital,14,Primary Health Center,260,+91-9005855667
56,Max Hospital,2,Government Hospital,256,+91-8457293575
57,AIIMS Hospital,4,Government Hospital,148,+91-7816941039
58,Victoria Hospital,18,Private Hospital,266,+91-7788075126
59,Victoria Hospital,9,Private Hospital,497,+91-7323775634
60,Civil Hospital,15,Government Hospital,100,+91-7217275224
61,Apollo Hospital,18,Government Hospital,435,+91-8015242176
62,Grant Medical Hospital,6,Primary Health Center,296,+91-7918037633
63,Apollo Hospital,13,Private Hospital,244,+91-7009257255
64,Safdarjung Hospital,13,Primary Health Center,196,+91-8816803306
65,Victoria Hospital,18,Private Hospital,147,+91-8274350418
66,Apollo Hospital,7,Community Health Center,426,+91-9328710672
